r0: 00000000ffffffff

r1: 0000000000000000

r2: 0000000000000802

r3: 00000000ff01002c

r4: 0000000000002889

r5: 000000000001b7df

r6: 000000000000000a

r7: 000000000000000a

r8: 000000000000000a

r9: 0000000000000000

r10: 0000000000000001

r11: 0000000000000009

r12: 000000000001f700

r13: 0000000000000000

r14: 0000000000000084

r15: 0000000000000000

r16: 0000000000000000

r17: 0000000000000000

r18: 0000000000000000

r19: 0000000000000000

r20: 0000000000000000

r21: 0000000000000000

r22: 0000000000000000

r23: 0000000000000000

r24: 0000000000000000

r25: 0000000000000000

r26: 0000000000000000

r27: 0000000000000000

r28: 0000000000000000

r29: 000000000001f740

r30: 0000000000001250

pc: 0000000000001254

sp: 000000000001f740

fpcr: 00000000

fpsr: 00000000

mpidr_el1: 0000000080000000

ifsr32_el2: 00000000

esr_el1: 00000000

esr_el2: 02fc7626

esr_el3: 1fe00000

isr_el1: 00000000

sctlr_el3: 00c0181d

tcr_el3: 80823518

contextidr_el1: 00000000

cpacr_el1: 00000000

actlr_el3: 00000000

pmcr_el0: 41033009

pmcntenset_el0: 00000000

pmovsclr_el0: 00000000

pmuserenr_el0: 00000000

pmintenset_el1: 00000000

pmevcntr0_el0: 00000000

pmevcntr1_el0: 00000000

pmevcntr2_el0: 00000000

pmevcntr3_el0: 00000000

pmevcntr4_el0: 00000000

pmevcntr5_el0: 00000000

pmevtyper0_el0: 00000000

pmevtyper1_el0: 00000000

pmevtyper2_el0: 00000000

pmevtyper3_el0: 00000000

pmevtyper4_el0: 00000000

pmevtyper5_el0: 00000000

pmccfiltr_el0: 00000000

scr_el3: 00000c0e

cptr_el3: 00000000

mdcr_el3: 00000000

cntkctl_el1: 00000000

cntp_tval_el0: 71ea1ad3

cntp_ctl_el0: 00000000

cntv_tval_el0: 7051553c

cntv_ctl_el0: 00000000

cnthctl_el2: 00000003

cnthp_tval_el2: 694541e0

cnthp_ctl_el2: 00000002

cntps_tval_el1: 293443c0

gicc_ctlr: 00000000

gicc_pmr: 00000000

gicc_bpr: 00000002

gicc_rpr: 000000ff

gicc_hppir: 000003ff

gicc_abpr: 00000003

gicc_ahppir: 000003ff

gicc_apr0: 00000000

gicc_nsapr0: 00000000

gicd_ctlr: 00000000

gicd_ppisr: 00000000

gicd_igroupr0: 00000000

gicd_igroupr1: 00000000

gicd_igroupr2: 00000000

gicd_igroupr3: 00000000

gicd_igroupr4: 00000000

gicd_igroupr5: 00000000

gicd_isenabler0: 0000ffff

gicd_isenabler1: 00000000

gicd_isenabler2: 00000000

gicd_isenabler3: 00000000

gicd_isenabler4: 00000000

gicd_isenabler5: 00000000

gicd_ispendr0: 00000000

gicd_ispendr1: 00000000

gicd_ispendr2: 00000000

gicd_ispendr3: 00000000

gicd_ispendr4: 00000000

gicd_ispendr5: 00000000

gicd_isactiver0: 00000000

gicd_isactiver1: 00000000

gicd_isactiver2: 00000000

gicd_isactiver3: 00000000

gicd_isactiver4: 00000000

gicd_isactiver5: 00000000

gicd_ipriorityr0: 00000000

gicd_ipriorityr1: 00000000

gicd_ipriorityr2: 00000000

gicd_ipriorityr3: 00000000

gicd_ipriorityr4: 00000000

gicd_ipriorityr5: 00000000

gicd_ipriorityr6: 00000000

gicd_ipriorityr7: 00000000

gicd_ipriorityr8: 00000000

gicd_ipriorityr9: 00000000

gicd_ipriorityr10: 00000000

gicd_ipriorityr11: 00000000

gicd_ipriorityr12: 00000000

gicd_ipriorityr13: 00000000

gicd_ipriorityr14: 00000000

gicd_ipriorityr15: 00000000

gicd_ipriorityr16: 00000000

gicd_ipriorityr17: 00000000

gicd_ipriorityr18: 00000000

