Address:0x0003DD00,Value:0x009029811280AC20
Address:0x0003DD08,Value:0x0700242250A00992
Address:0x0003DD10,Value:0x1081000809281242
Address:0x0003DD18,Value:0x600320006900C01A
Address:0x0003DD20,Value:0x00110820CC001401
Address:0x0003DD28,Value:0x0620643082101011
Address:0x0003DD30,Value:0x1253080800020C88
Address:0x0003DD38,Value:0x0210110487180589
Address:0x0003DD40,Value:0x010128200A400407
Address:0x0003DD48,Value:0x000008A0A9581400
Address:0x0003DD50,Value:0xC8830832082000C0
Address:0x0003DD58,Value:0x03040F0010CA0008
Address:0x0003DD60,Value:0x51030908109C1815
Address:0x0003DD68,Value:0x41002031889C1402
Address:0x0003DD70,Value:0x15DA200280030402
Address:0x0003DD78,Value:0x02110C0020030000
Address:0x0003DD80,Value:0x40D0118004221644
Address:0x0003DD88,Value:0x10000106C00A0020
Address:0x0003DD90,Value:0x48A31080320A0280
Address:0x0003DD98,Value:0x000104000418042D
Address:0x0003DDA0,Value:0x010301202080A180
Address:0x0003DDA8,Value:0x90000000000A0280
Address:0x0003DDB0,Value:0x42C02020A2940681
Address:0x0003DDB8,Value:0x4000380000220012
Address:0x0003DDC0,Value:0x08012020088B0802
Address:0x0003DDC8,Value:0x4285080891025001
Address:0x0003DDD0,Value:0xD2102C0C10000008
Address:0x0003DDD8,Value:0x54C000221C128F20
Address:0x0003DDE0,Value:0x1240201000106E01
Address:0x0003DDE8,Value:0x280003B1801A1008
Address:0x0003DDF0,Value:0x4C90899231480004
Address:0x0003DDF8,Value:0x8782222080020004
Address:0x0003DE00,Value:0x60010C20001106A2
Address:0x0003DE08,Value:0x4CD020808A000140
Address:0x0003DE10,Value:0x801000A290110120
Address:0x0003DE18,Value:0x5080028228124409
Address:0x0003DE20,Value:0x10800C0802101309
Address:0x0003DE28,Value:0x04000C2052115441
Address:0x0003DE30,Value:0x1101A8B500026429
Address:0x0003DE38,Value:0x0090092003984500
Address:0x0003DE40,Value:0xC082048848280412
Address:0x0003DE48,Value:0x1480022205000701
Address:0x0003DE50,Value:0x0614086286008022
Address:0x0003DE58,Value:0x44802FAA84809000
Address:0x0003DE60,Value:0x47B1428024880400
Address:0x0003DE68,Value:0x3100088120801040
Address:0x0003DE70,Value:0x21810A8B00001070
Address:0x0003DE78,Value:0x28050A801003042A
Address:0x0003DE80,Value:0x0500020B05230402
Address:0x0003DE88,Value:0x0206000F92920420
Address:0x0003DE90,Value:0x06040008022400C2
Address:0x0003DE98,Value:0x500000405990A000
Address:0x0003DEA0,Value:0x1C81342404081140
Address:0x0003DEA8,Value:0x008001ABB8100109
Address:0x0003DEB0,Value:0x8295C00490094001
Address:0x0003DEB8,Value:0x0600202200862001
Address:0x0003DEC0,Value:0x9182288000040620
Address:0x0003DEC8,Value:0x00100CE200A91620
Address:0x0003DED0,Value:0x0281200010011100
Address:0x0003DED8,Value:0x2361088E5A8A0620
Address:0x0003DEE0,Value:0x01A7800181960608
Address:0x0003DEE8,Value:0x06802828D8080000
Address:0x0003DEF0,Value:0x1042186283120028
Address:0x0003DEF8,Value:0x0405000001089280
Address:0x0003DF00,Value:0x41832D3000400420
Address:0x0003DF08,Value:0xC480012A02302202
Address:0x0003DF10,Value:0x4C8221456C101610
Address:0x0003DF18,Value:0xC880450000800004
Address:0x0003DF20,Value:0x52C520B012008820
Address:0x0003DF28,Value:0x02342C0086001341
Address:0x0003DF30,Value:0x149005AA28000112
Address:0x0003DF38,Value:0x84004400A2040A08
Address:0x0003DF40,Value:0x500009849248C023
Address:0x0003DF48,Value:0x3151108000081980
Address:0x0003DF50,Value:0x4030229C00560C02
Address:0x0003DF58,Value:0x10B8050218D00120
Address:0x0003DF60,Value:0x0604042A98001021
Address:0x0003DF68,Value:0x14010102A0420282
Address:0x0003DF70,Value:0x18200802C0000330
Address:0x0003DF78,Value:0x06800C0440280103
Address:0x0003DF80,Value:0x18C2248012203340
Address:0x0003DF88,Value:0x50D0048210420101
Address:0x0003DF90,Value:0x1B10261B0A1312A0
Address:0x0003DF98,Value:0x8001157000890511
Address:0x0003DFA0,Value:0x4181441004400060
Address:0x0003DFA8,Value:0x84D61000880007A0
Address:0x0003DFB0,Value:0x28A1008012808022
Address:0x0003DFB8,Value:0x0824000890820022
Address:0x0003DFC0,Value:0x0401080000000100
Address:0x0003DFC8,Value:0x0011082898020600
Address:0x0003DFD0,Value:0x1040088489940418
Address:0x0003DFD8,Value:0x0A192040261A0002
Address:0x0003DFE0,Value:0x0A00409800888602
Address:0x0003DFE8,Value:0x0A03002A88088782
Address:0x0003DFF0,Value:0xC200C080000061E0
Address:0x0003DFF8,Value:0x068C2910C8404463
Address:0x0003E000,Value:0x000420018AA00511
Address:0x0003E008,Value:0x042021E082910020
Address:0x0003E010,Value:0x020484A21A182804
Address:0x0003E018,Value:0x02081800100041A0
Address:0x0003E020,Value:0x0003402041A90000
Address:0x0003E028,Value:0x0010A41208BA8010
Address:0x0003E030,Value:0x88000402000B220A
Address:0x0003E038,Value:0x230800244A000300
Address:0x0003E040,Value:0x0040048858000228
Address:0x0003E048,Value:0x00022482084A0183
Address:0x0003E050,Value:0x5602242A1003040A
Address:0x0003E058,Value:0x40210A002E000201
Address:0x0003E060,Value:0x22100C0A02400001
Address:0x0003E068,Value:0x0001591842080005
Address:0x0003E070,Value:0x0600008050880603
Address:0x0003E078,Value:0x010000080B0C1000
Address:0x0003E080,Value:0x02400000501E1210
Address:0x0003E088,Value:0x1E08212812001002
Address:0x0003E090,Value:0x14C100020000033A
Address:0x0003E098,Value:0x0C8000000AC25222
Address:0x0003E0A0,Value:0x0022010A00882E46
Address:0x0003E0A8,Value:0x6113200838900001
Address:0x0003E0B0,Value:0x8382908081800304
Address:0x0003E0B8,Value:0x1402041090234400
Address:0x0003E0C0,Value:0x40CA011840800900
Address:0x0003E0C8,Value:0x064021201090D102
Address:0x0003E0D0,Value:0x302D002C00000A22
Address:0x0003E0D8,Value:0x8CD0258080321222
Address:0x0003E0E0,Value:0x8403050600200028
Address:0x0003E0E8,Value:0x18010400100000A8
Address:0x0003E0F0,Value:0x800B240C0012858E
Address:0x0003E0F8,Value:0x0440000906080090
Address:0x0003E100,Value:0x1602A800021E0009
Address:0x0003E108,Value:0xC09000018085320C
Address:0x0003E110,Value:0x021001040C138601
Address:0x0003E118,Value:0x1006440812391003
Address:0x0003E120,Value:0x93100182105A5129
Address:0x0003E128,Value:0x049464088A022502
Address:0x0003E130,Value:0x2112092802960280
Address:0x0003E138,Value:0x840149A80802D8B3
Address:0x0003E140,Value:0x000531880800A084
Address:0x0003E148,Value:0x800D05010010060A
Address:0x0003E150,Value:0x101220290180004A
Address:0x0003E158,Value:0x8A32001203403008
Address:0x0003E160,Value:0x22113B0080002101
Address:0x0003E168,Value:0x0C300E4C22100200
Address:0x0003E170,Value:0x14080A2204000221
Address:0x0003E178,Value:0x0200000B22800516
Address:0x0003E180,Value:0x4114450210014C22
Address:0x0003E188,Value:0x400020088E000308
Address:0x0003E190,Value:0x820AC1184AD00402
Address:0x0003E198,Value:0x1A20442203BA0020
Address:0x0003E1A0,Value:0x6900140080CC2401
Address:0x0003E1A8,Value:0x00C1848802831231
Address:0x0003E1B0,Value:0x0710089B00880404
Address:0x0003E1B8,Value:0x4A814C308C20E20A
Address:0x0003E1C0,Value:0x01532C030C080221
Address:0x0003E1C8,Value:0x0112242881A80080
Address:0x0003E1D0,Value:0x40300A0024100D43
Address:0x0003E1D8,Value:0x88D00D0188000001
Address:0x0003E1E0,Value:0x00A9059080460070
Address:0x0003E1E8,Value:0x50010218009242CA
Address:0x0003E1F0,Value:0x00002480BA988008
Address:0x0003E1F8,Value:0x84001C228B810001
Address:0x0003E200,Value:0x4201412282A3C021
Address:0x0003E208,Value:0x0084202C4A000049
Address:0x0003E210,Value:0x0580282840009015
Address:0x0003E218,Value:0x4011294806000062
Address:0x0003E220,Value:0x108020888800315A
Address:0x0003E228,Value:0x42E001001082A081
Address:0x0003E230,Value:0xC48084000E000864
Address:0x0003E238,Value:0x05A80002A0005280
Address:0x0003E240,Value:0x0A04143080080305
Address:0x0003E248,Value:0x15080422B8200220
Address:0x0003E250,Value:0x3034808088001041
Address:0x0003E258,Value:0x00100812A9818641
Address:0x0003E260,Value:0x020221004881020A
Address:0x0003E268,Value:0x5000060842428831
Address:0x0003E270,Value:0xDA40092A0A000051
Address:0x0003E278,Value:0x8C00282002128010
Address:0x0003E280,Value:0x6600000A309115B2
Address:0x0003E288,Value:0x000009A01090120A
Address:0x0003E290,Value:0x82020448000102AA
Address:0x0003E298,Value:0x50030CB826101B2A
Address:0x0003E2A0,Value:0x000A0423208A02C0
Address:0x0003E2A8,Value:0x00238480A2081A08
Address:0x0003E2B0,Value:0x10200186000A940A
Address:0x0003E2B8,Value:0x8000000208D82420
Address:0x0003E2C0,Value:0x5001049A0002CA23
Address:0x0003E2C8,Value:0x1300028882021225
Address:0x0003E2D0,Value:0xD60000862120184A
