!SESSION 2023-10-17 13:53:20.013 -----------------------------------------------
eclipse.buildId=2023.1
java.version=11.0.16.1
java.vendor=Eclipse Adoptium
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Command-line arguments:  -os win32 -ws win32 -arch x86_64

This is a continuation of log file C:\Users\deoch\workspace\.metadata\.bak_0.log
Created Time: 2023-10-17 14:01:23.131

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:23.132
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:23.136
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent JTAG-HS3 210299B938DC
  5  Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:23.137
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:23.142
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent JTAG-HS3 210299B938DC
  5  Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:23.142
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:23.154
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Result: [null,      2  xck26 (idcode 04724093 irlen 12 fpga)
     3  arm_dap (idcode 5ba00477 irlen 4)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:23.155
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:26.172
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:26.174
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:26.178
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent JTAG-HS3 210299B938DC
  5  Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:26.179
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:26.190
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Result: [null,      2  xck26 (idcode 04724093 irlen 12 fpga)
     3  arm_dap (idcode 5ba00477 irlen 4)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:26.191
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:29.208
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:29.208
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:29.213
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent JTAG-HS3 210299B938DC
  5  Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:29.213
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:29.225
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Result: [null,      2  xck26 (idcode 04724093 irlen 12 fpga)
     3  arm_dap (idcode 5ba00477 irlen 4)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:29.225
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:32.243
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:32.244
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:32.249
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent JTAG-HS3 210299B938DC
  5  Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:32.249
